,temporal,contingency,comparision,expansion
0,4.085309800568132,-5.12503057140805,-5.12503057140805,6.1647513422479685
1,1.8161075557302173,3.7620177047855305,-7.394232816245966,1.8161075557302173
2,1.8546452256870325,1.8546452256870325,-7.35569514628915,3.6464046949150872
3,1.8161075557302173,3.7620177047855305,-7.394232816245966,1.8161075557302173
4,2.2012188159670045,2.89436599652695,-7.702268736569123,2.606683924075169
5,1.6094379124341003,2.995732273553991,-7.600902459542082,2.995732273553991
6,-5.3663007954189474,4.942651865225345,-5.3663007954189474,5.789949725612549
7,-5.2649345183919065,4.638553034144222,-5.2649345183919065,5.89131600263959
8,-2.878231366242557,8.634694098727671,-2.878231366242557,-2.878231366242557
9,1.9560115027140725,2.6491586832740177,-7.25432886926211,2.6491586832740177
10,-5.1808164592366035,5.63896182517368,-5.1808164592366035,4.722671093299525
11,-5.12503057140805,4.778456981128078,-5.12503057140805,5.471604161688023
12,0.0,0.0,-0.6931471805599453,0.6931471805599453
13,-5.327763125462132,5.674336715742106,-5.327763125462132,4.9811895351821605
14,-5.1250305714080495,6.164751342247969,-5.1250305714080495,4.085309800568133
15,-7.630348218456178,2.27313933407995,2.678604442188114,2.678604442188114
16,-5.399683643575077,5.602416197629161,-5.399683643575077,5.196951089520996
17,-7.656688347370635,2.939946385725438,1.5536520246055476,3.163089937039648
18,-7.584767829257689,2.724184831386603,1.625572542718493,3.2350104551525933
19,-2.8518912373281,-2.8518912373281,-2.8518912373281,8.555673711984301
20,-7.656688347370635,3.163089937039648,1.5536520246055476,2.939946385725438
21,0.3040988310811233,0.5917809035329044,-0.7945134575869862,-0.10136627702704092
22,-0.4864775372638284,-0.4864775372638284,-0.4864775372638284,1.459432611791485
23,-5.3663007954189474,5.789949725612549,-5.3663007954189474,4.942651865225345
24,-7.656688347370635,3.163089937039648,1.5536520246055476,2.939946385725438
25,-7.567519611385952,2.3359679411501757,1.6428207605902305,3.5887309096455438
26,-5.298317366548037,4.605170185988091,-5.298317366548037,5.991464547107982
27,-7.630348218456178,1.5799921535200045,2.678604442188114,3.3717516227480595
28,-7.702268736569124,2.201218815967004,3.2998311046351136,2.201218815967004
29,-5.399683643575079,5.1969510895209945,-5.399683643575079,5.602416197629159
30,-7.702268736569124,3.2998311046351136,2.201218815967004,2.201218815967004
31,-7.427615664402096,1.7827247075740869,1.7827247075740869,3.8621662492539226
32,-7.427615664402096,3.8621662492539226,1.7827247075740869,1.7827247075740869
33,-7.5675196113859515,3.588730909645544,1.6428207605902312,2.3359679411501766
34,-7.5675196113859515,3.588730909645544,2.3359679411501766,1.6428207605902312
35,-7.584767829257689,2.724184831386603,1.625572542718493,3.2350104551525933
36,-5.298317366548037,4.605170185988091,-5.298317366548037,5.991464547107982
37,-7.5675196113859515,3.588730909645544,1.6428207605902312,2.3359679411501766
38,-7.427615664402096,3.8621662492539226,1.7827247075740869,1.7827247075740869
39,-0.6931471805599453,0.6931471805599453,0.0,0.0
40,-5.3663007954189474,5.789949725612549,-5.3663007954189474,4.942651865225345
41,1.625572542718493,2.724184831386603,-7.584767829257689,3.2350104551525933
42,-5.35410325437659,5.242531478719483,-5.35410325437659,5.465675030033693
43,1.6428207605902312,3.588730909645544,-7.5675196113859515,2.3359679411501766
44,-5.35410325437659,5.242531478719483,-5.35410325437659,5.465675030033693
45,1.7827247075740869,-7.427615664402096,1.7827247075740869,3.8621662492539226
46,-5.298317366548036,5.991464547107983,-5.298317366548036,4.605170185988092
47,-2.878231366242557,-2.878231366242557,-2.878231366242557,8.634694098727671
48,-5.154476330322146,-5.154476330322146,4.055864041654036,6.253088618990256
49,4.605170185988091,5.991464547107982,-5.298317366548037,-5.298317366548037
50,-5.154476330322146,-5.154476330322146,4.055864041654036,6.253088618990256
51,-5.399683643575077,-5.399683643575077,5.602416197629161,5.196951089520996
52,-7.656688347370635,3.163089937039648,2.246799205165493,2.246799205165493
53,-7.630348218456178,1.5799921535200045,3.3717516227480595,2.678604442188114
54,-7.567519611385952,1.6428207605902305,2.3359679411501757,3.5887309096455438
55,-7.427615664402096,1.7827247075740869,1.7827247075740869,3.8621662492539226
56,-5.226396848435092,4.677090704101036,5.775702992769146,-5.226396848435092
57,2.374505611106991,3.4731178997751004,-7.528981941429137,1.6813584305470455
58,-5.298317366548037,4.605170185988091,-5.298317366548037,5.991464547107982
59,-7.528981941429137,3.4731178997751004,1.6813584305470455,2.374505611106991
60,-7.656688347370635,2.939946385725438,1.5536520246055476,3.163089937039648
61,1.5536520246055476,3.163089937039648,-7.656688347370635,2.939946385725438
62,-5.3663007954189474,5.789949725612549,-5.3663007954189474,4.942651865225345
63,-5.399683643575078,5.196951089520995,-5.399683643575078,5.60241619762916
64,-5.3663007954189474,4.942651865225345,-5.3663007954189474,5.789949725612549
65,-7.656688347370635,1.5536520246055476,2.939946385725438,3.163089937039648
66,-5.399683643575078,5.196951089520995,-5.399683643575078,5.60241619762916
67,2.1454329281384523,2.550898036246617,-7.758054624397675,3.0617236600126074
68,-5.4098891422051425,5.409889142205141,-5.4098891422051425,5.409889142205141
69,-5.298317366548037,-5.298317366548037,4.605170185988091,5.991464547107982
70,-7.656688347370635,3.163089937039648,1.5536520246055476,2.939946385725438
71,-7.758054624397676,2.1454329281384523,2.5508980362466165,3.061723660012607
72,-0.6770125502755525,-0.6770125502755525,0.9324253621585478,0.42159973839255716
73,-2.8518912373281,-2.8518912373281,-2.8518912373281,8.555673711984301
74,-5.298317366548037,4.605170185988091,-5.298317366548037,5.991464547107982
75,-5.298317366548036,5.991464547107983,-5.298317366548036,4.605170185988092
76,-2.878231366242557,-2.878231366242557,-2.878231366242557,8.634694098727671
77,-5.12503057140805,4.085309800568132,-5.12503057140805,6.1647513422479685
78,-0.4864775372638286,1.4594326117914846,-0.4864775372638286,-0.4864775372638286
79,-5.327763125462132,4.9811895351821605,-5.327763125462132,5.674336715742106
80,-7.567519611385952,1.6428207605902305,3.5887309096455438,2.3359679411501757
81,-7.5675196113859515,3.588730909645544,2.3359679411501766,1.6428207605902312
82,-5.399683643575078,5.196951089520995,-5.399683643575078,5.60241619762916
83,1.7827247075740869,3.8621662492539226,-7.427615664402096,1.7827247075740869
84,1.6428207605902305,2.3359679411501757,-7.567519611385952,3.5887309096455438
85,-0.7489330683884978,-0.05578588782855254,0.8605048440456025,-0.05578588782855254
86,-7.774189254682069,2.1292982978540587,2.822445478414004,2.822445478414004
