,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,chi2,chi2,chi2,chi2,chi2,1.0,1.0,1.0,1.0,chi2,1.0,chi2,chi2,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
precedence,,chi2,chi2,chi2,chi2,1.0,1.0,1.0,1.0,chi2,1.0,chi2,chi2,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
succession,,,chi2,chi2,chi2,1.0,1.0,1.0,1.0,chi2,1.0,chi2,chi2,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
reason,,,,chi2,chi2,1.0,1.0,1.0,1.0,chi2,1.0,chi2,chi2,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
result,,,,,chi2,1.0,1.0,1.0,1.0,chi2,1.0,chi2,chi2,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
arg1-as-cond,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-cond,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-negcond,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-negcond,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-goal,,,,,,,,,,chi2,1.0,chi2,chi2,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
arg2-as-goal,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-denier,,,,,,,,,,,,chi2,chi2,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
arg2-as-denier,,,,,,,,,,,,,chi2,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
contrast,,,,,,,,,,,,,,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
similarity,,,,,,,,,,,,,,,chi2,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
conjunction,,,,,,,,,,,,,,,,chi2,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
disjunction,,,,,,,,,,,,,,,,,chi2,1.0,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
arg1-as-instance,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-instance,,,,,,,,,,,,,,,,,,,chi2,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
arg1-as-detail,,,,,,,,,,,,,,,,,,,,chi2,chi2,1.0,1.0,1.0,1.0,1.0,chi2
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,chi2,1.0,1.0,1.0,1.0,1.0,chi2
equivalence,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,chi2
