,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,NA
cause,,,NA,NA,NA,NA,NA,NA,NA,0.0602125147579693,NA,NA,0.0,NA,NA,NA,NA
condition,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negative-condition,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,NA,NA,NA,0.12451087305151068,NA,NA,NA,NA
disjunction,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
instantiation,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
level-of-detail,,,,,,,,,,,,,NA,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,NA,NA,NA,NA
manner,,,,,,,,,,,,,,,NA,NA,NA
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,NA
