,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
asynchronous,,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
cause,,,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
condition,,,,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
negative-condition,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
purpose,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
concession,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
contrast,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
similarity,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
conjunction,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
disjunction,,,,,,,,,,,chi2_used,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
instantiation,,,,,,,,,,,,chi2_used,chi2_used,1.0,chi2_used,1.0,1.0
level-of-detail,,,,,,,,,,,,,chi2_used,1.0,chi2_used,1.0,1.0
equivalence,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
manner,,,,,,,,,,,,,,,chi2_used,1.0,1.0
exception,,,,,,,,,,,,,,,,1.0,1.0
substitution,,,,,,,,,,,,,,,,,1.0
