,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,fisher,0.001384205906599348,fisher,fisher,0.16878228289486344,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,0.7872717376114664,fisher,fisher,fisher,fisher,0.0033195658217446333,fisher,fisher,fisher,fisher,fisher,fisher
precedence,,0.0,fisher,2.31927402349975e-11,0.002846171114944047,fisher,fisher,fisher,fisher,fisher,fisher,0.0012410228128551175,0.003085558046340068,0.0001647537797864514,0.004052480914082839,2.7698060043680895e-16,fisher,fisher,3.923658537257107e-09,0.023107322724971874,5.370276290925869e-35,fisher,fisher,fisher,fisher,fisher,fisher
succession,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
reason,,,,0.0,2.7423019588005025e-30,fisher,fisher,fisher,fisher,fisher,fisher,0.02123501468107279,3.840736696832639e-06,0.03070841072978781,0.014148420913754673,5.890807607527779e-23,fisher,fisher,0.009812327468181043,fisher,0.410202745466141,fisher,fisher,fisher,fisher,fisher,fisher
result,,,,,0.0,fisher,fisher,fisher,fisher,fisher,fisher,1.428425262123264e-05,1.794032742122344e-08,2.079251345810557e-10,1.7755730900848174e-06,3.79501550364219e-68,fisher,fisher,5.551404716804402e-26,0.03152576020457131,4.158048879249692e-88,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-cond,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-cond,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-negcond,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-negcond,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-goal,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-goal,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-denier,,,,,,,,,,,,fisher,2.795814890274542e-11,fisher,fisher,2.129721272524537e-11,fisher,fisher,0.005546633481065436,fisher,0.0014293978744004535,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-denier,,,,,,,,,,,,,0.0,0.029593479942153507,fisher,3.712657338761174e-19,fisher,fisher,0.0002505773480315317,fisher,2.5201006278364343e-17,fisher,fisher,fisher,fisher,fisher,fisher
contrast,,,,,,,,,,,,,,fisher,fisher,2.2719665031025316e-09,fisher,fisher,0.002410428083767843,fisher,5.700212008507769e-08,fisher,fisher,fisher,fisher,fisher,fisher
similarity,,,,,,,,,,,,,,,fisher,1.0275717886955587e-13,fisher,fisher,fisher,fisher,8.513003159171387e-05,fisher,fisher,fisher,fisher,fisher,fisher
conjunction,,,,,,,,,,,,,,,,0.0,fisher,fisher,1.336814867037902e-17,6.359233545980277e-07,4.2761602000521045e-19,fisher,fisher,fisher,fisher,fisher,fisher
disjunction,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-instance,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-instance,,,,,,,,,,,,,,,,,,,0.0,fisher,1.3209721335586195e-06,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-detail,,,,,,,,,,,,,,,,,,,,fisher,0.12721111237366103,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,0.0,fisher,fisher,fisher,fisher,fisher,fisher
equivalence,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,fisher
