,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA
precedence,,NA,23.11875,0.08182870370370371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23028269007357688,NA,NA,0.0,NA,0.17466986794717887,NA,NA,NA,NA,NA,NA,NA
succession,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21099744245524296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reason,,,,NA,0.06302521008403361,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0.3072422199913954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
result,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1024390243902439,NA,0.18571428571428572,NA,NA,0.0,NA,0.19435771632471008,NA,NA,NA,NA,NA,NA,NA
arg1-as-cond,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-cond,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-negcond,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-negcond,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-goal,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-goal,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,,,,,NA,24.61111111111111,9.351648351648352,NA,0.141156462585034,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,,,,,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,,,,,,NA,NA,0.4421550413781456,NA,NA,NA,NA,0.05965324713488099,NA,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,,,,,NA,NA,0.141156462585034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
disjunction,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
arg1-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
