,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,NA,0.343871160155085,0.23809523809523808,-0.17120387174833634,-0.13726404101608017,NA,NA,NA,NA,NA,NA,NA,0.16311080523055746,0.1398735108104133,0.05059337913803873,-0.15980719317760475,NA,NA,NA,0.09247596950613192,-0.4476699770817418,NA,NA,NA,NA,NA,NA,NA
precedence,,NA,0.8901912399753239,-0.8399645547186531,0.4658109325889619,0.3745583038869258,NA,NA,NA,NA,-0.2096360840594567,NA,NA,-0.3939481895363181,-0.5123357898109581,-0.5793057566626227,NA,NA,-0.7870947630922693,-0.3027608797379504,-0.45057017150040407,NA,NA,0.13616398243045388,NA,NA,NA,NA
succession,,,NA,-0.5751099937146449,-0.09919177075679647,NA,NA,NA,NA,NA,NA,NA,NA,-0.23261630815407705,NA,-0.5460017196904557,0.3151750972762646,NA,-0.704225352112676,-0.3435114503816794,-0.574468085106383,NA,NA,NA,NA,NA,NA,NA
reason,,,,NA,-0.510163195458909,0.13672496025437203,0.7769516728624535,NA,NA,NA,0.7542997542997543,-0.7343809888846301,-0.6097832128960534,-0.5950527774816079,-0.6767021769337657,-0.28166115857080504,-0.43764892772041303,-0.04857928505957837,-0.2403846153846154,-0.6604338070306657,-0.07710888728550365,0.5968819599109132,NA,-0.11866501854140915,NA,NA,NA,NA
result,,,,,NA,0.7714808043875686,0.1227154046997389,NA,NA,0.8242146134839393,0.1898675342784104,-0.37327651040360993,-0.29653639562882017,-0.512677266867211,-0.5830705394190872,-0.5086841674653452,-0.02118968598417156,0.21905379131561892,-0.44705716699521264,0.12806539509536785,-0.5256609642301711,NA,NA,0.12314410480349346,NA,NA,NA,NA
arg1-as-cond,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.683643486777669,NA,0.8058455114822547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-cond,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5591836734693878,NA,NA,0.6024096385542169,NA,0.45170454545454547,NA,NA,0.9778270509977827,NA,NA,NA,NA
arg1-as-negcond,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-negcond,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-goal,,,,,,,,,,NA,NA,NA,NA,NA,NA,-0.0804162724692526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-goal,,,,,,,,,,,NA,NA,NA,NA,NA,-0.1917750734368443,NA,0.4691780821917808,NA,NA,0.048053024026512015,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,,,,,NA,0.9390830394357166,0.6728467495892982,NA,-0.3551498449879435,NA,0.4019933554817276,-0.5230769230769231,NA,-0.35434985968194577,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,,,,,NA,0.790961242479362,NA,-0.6261014527268397,NA,NA,-0.33783783783783783,NA,-0.7069575471698113,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,,,,,,NA,0.36346029696578436,-0.15401621223286663,0.5468297392983585,-0.04333605887162715,-0.4908961085326669,NA,-0.4430857142857143,NA,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,,,,,,,NA,0.8429259994329459,0.8210361067503925,NA,-0.43478260869565216,0.5920679886685553,-0.10613524406627856,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,,,,,NA,-0.36178699641005185,-0.5075107296137339,0.13051930019439045,0.007361487795428129,0.2968210089841051,NA,-0.27616926503340755,-0.5607094133697135,NA,NA,NA,NA
disjunction,,,,,,,,,,,,,,,,,NA,NA,NA,NA,-0.5508928571428572,NA,NA,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,,,,,NA,-0.5992704533611256,0.6391509433962265,-0.694829760403531,NA,NA,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,,,,,NA,NA,0.02034174125305126,NA,NA,NA,NA,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,,,,,,,,NA,-0.3882978723404255,NA,NA,NA,NA,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,NA,0.13808463251670378,NA,-0.20625,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
arg1-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
