,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,1.0,1.0,1.0,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
precedence,,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,1.0,1.0,1.0,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
succession,,,chi2_used,chi2_used,chi2_used,1.0,1.0,1.0,1.0,1.0,1.0,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
reason,,,,chi2_used,chi2_used,1.0,1.0,1.0,1.0,1.0,1.0,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
result,,,,,chi2_used,1.0,1.0,1.0,1.0,1.0,1.0,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
arg1-as-cond,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-cond,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-negcond,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-negcond,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-goal,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-goal,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-denier,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
arg2-as-denier,,,,,,,,,,,,,chi2_used,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
contrast,,,,,,,,,,,,,,chi2_used,1.0,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
similarity,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
disjunction,,,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
arg1-as-instance,,,,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
arg2-as-instance,,,,,,,,,,,,,,,,,,,chi2_used,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
arg1-as-detail,,,,,,,,,,,,,,,,,,,,chi2_used,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,chi2_used,1.0,1.0,chi2_used,1.0,1.0,1.0,1.0
equivalence,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,chi2_used,1.0,1.0,1.0,1.0
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
arg1-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
