,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,0.0,0.09012909042591105,0.0033258217608759418,fisher,fisher,fisher,0.28648300454783565,0.6051192939053363,0.7905150078467355,0.4934983758933523,0.956833210778019,0.4033035229415043,0.06022167828127839,fisher,fisher,fisher,0.8860728095192956
asynchronous,,0.0,6.6829529793249104e-21,fisher,fisher,fisher,2.8813308492778495e-06,0.012985738634100795,0.2018614218515954,2.291868312508309e-13,0.7948207968345226,5.9380181066410845e-05,1.7422312657765735e-19,fisher,fisher,fisher,0.4912258969249439
cause,,,0.0,fisher,fisher,fisher,1.372534138130708e-25,3.6255641688584964e-08,0.0042453215689509565,7.6078755798143e-102,0.5011961737696984,1.8890596081703858e-17,6.179338552747518e-54,fisher,fisher,fisher,0.3351694161914816
condition,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
negative-condition,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
purpose,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
concession,,,,,,,0.0,0.9765555333899565,0.23076327999344798,6.883434005257528e-19,0.8070848754073757,0.000503433918463902,1.0199159708134285e-14,fisher,fisher,fisher,0.5180461707878621
contrast,,,,,,,,0.0,0.5610104441509867,4.1074663302768926e-05,0.9057065196102146,0.06740596644490922,3.9149240775033524e-05,fisher,fisher,fisher,0.7538634232240983
similarity,,,,,,,,,0.0,0.00017433708524596637,0.9514722630205953,0.3473980133497264,0.03461651607674994,fisher,fisher,fisher,0.8720228534818166
conjunction,,,,,,,,,,0.0,0.5918926511420277,2.6726007054178373e-13,4.336571923112794e-30,fisher,fisher,fisher,0.1558903662486673
disjunction,,,,,,,,,,,0.0,0.8481609396686453,0.6668221235586484,fisher,fisher,fisher,0.9738148762036245
instantiation,,,,,,,,,,,,0.0,0.0031775636172455936,fisher,fisher,fisher,0.6122924837920297
level-of-detail,,,,,,,,,,,,,0.0,fisher,fisher,fisher,0.9217062801985414
equivalence,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
manner,,,,,,,,,,,,,,,fisher,fisher,fisher
exception,,,,,,,,,,,,,,,,fisher,fisher
substitution,,,,,,,,,,,,,,,,,0.0
