,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,4.413907686212147e-56,0.11511751444509306,chi2,1.0,1.0,1.0,0.6225263387208139,1.0,1.0,0.7820338192606575,1.0,1.0,0.05945639101669613,1.0,1.0,1.0,1.0
asynchronous,,chi2,chi2,1.0,1.0,1.0,chi2,chi2,0.39917678355182784,chi2,1.0,chi2,chi2,1.0,1.0,1.0,1.0
cause,,,chi2,1.0,1.0,1.0,chi2,chi2,chi2,chi2,1.0,chi2,chi2,1.0,1.0,1.0,0.44680924310771425
condition,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
negative-condition,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
purpose,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
concession,,,,,,,chi2,chi2,0.6431123471280844,chi2,1.0,chi2,chi2,1.0,1.0,1.0,1.0
contrast,,,,,,,,1.7713322962024338e-205,1.0,chi2,1.0,0.07768682295415547,chi2,1.0,1.0,1.0,1.0
similarity,,,,,,,,,1.964352010416344e-68,chi2,1.0,1.0,0.02440439885106259,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,chi2,1.0,chi2,chi2,1.0,1.0,1.0,0.3605643372097166
disjunction,,,,,,,,,,,0.00015372790161414298,1.0,1.0,1.0,1.0,1.0,1.0
instantiation,,,,,,,,,,,,chi2,chi2,1.0,1.0,1.0,1.0
level-of-detail,,,,,,,,,,,,,chi2,1.0,1.0,1.0,1.0
equivalence,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
manner,,,,,,,,,,,,,,,1.0,1.0,1.0
exception,,,,,,,,,,,,,,,,1.0,1.0
substitution,,,,,,,,,,,,,,,,,1.0258926637405781e-23
