,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,fisher,fisher,0.0033258217608759418,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
asynchronous,,0.0,6.6829529793249104e-21,fisher,fisher,fisher,2.8813308492778495e-06,0.012985738634100795,fisher,2.291868312508309e-13,fisher,5.9380181066410845e-05,1.7422312657765735e-19,fisher,fisher,fisher,fisher
cause,,,0.0,fisher,fisher,fisher,1.372534138130708e-25,3.6255641688584964e-08,0.0042453215689509565,7.6078755798143e-102,fisher,1.8890596081703858e-17,6.179338552747518e-54,fisher,fisher,fisher,fisher
condition,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
negative-condition,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
purpose,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
concession,,,,,,,0.0,0.9765555333899565,fisher,6.883434005257528e-19,fisher,0.000503433918463902,1.0199159708134285e-14,fisher,fisher,fisher,fisher
contrast,,,,,,,,fisher,fisher,4.1074663302768926e-05,fisher,fisher,3.9149240775033524e-05,fisher,fisher,fisher,fisher
similarity,,,,,,,,,fisher,0.00017433708524596637,fisher,fisher,fisher,fisher,fisher,fisher,fisher
conjunction,,,,,,,,,,0.0,fisher,2.6726007054178373e-13,4.336571923112794e-30,fisher,fisher,fisher,fisher
disjunction,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher
instantiation,,,,,,,,,,,,0.0,0.0031775636172455936,fisher,fisher,fisher,fisher
level-of-detail,,,,,,,,,,,,,0.0,fisher,fisher,fisher,fisher
equivalence,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
manner,,,,,,,,,,,,,,,fisher,fisher,fisher
exception,,,,,,,,,,,,,,,,fisher,fisher
substitution,,,,,,,,,,,,,,,,,fisher
