,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,1.031840398588693e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
precedence,,chi2,1.0,chi2,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13102398867442702,0.1739004560983362,1.0,chi2,1.0,1.0,chi2,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
succession,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reason,,,,3.8594573413957354e-291,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27864318349024014,0.6326358562396489,1.0,chi2,1.0,1.0,0.11838659443341928,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
result,,,,,chi2,1.0,1.0,1.0,1.0,1.0,1.0,0.15524964516311243,chi2,chi2,0.37109391968695593,chi2,1.0,1.0,chi2,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-cond,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-cond,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-negcond,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-negcond,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-goal,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-goal,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-denier,,,,,,,,,,,,2.0733887215744763e-48,1.0,1.0,1.0,0.15154352898765855,1.0,1.0,1.0,1.0,0.6251153445958477,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-denier,,,,,,,,,,,,,9.494001510770678e-224,1.0,1.0,chi2,1.0,1.0,0.2708286786640659,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
contrast,,,,,,,,,,,,,,2.981951177862947e-137,1.0,chi2,1.0,1.0,0.6293795142304104,1.0,0.032291352515754566,1.0,1.0,1.0,1.0,1.0,1.0
similarity,,,,,,,,,,,,,,,1.7496123951358384e-29,0.3518008628739521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,,,,,,,chi2,1.0,1.0,chi2,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
disjunction,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-instance,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-instance,,,,,,,,,,,,,,,,,,,9.2235196952214e-278,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-detail,,,,,,,,,,,,,,,,,,,,9.524680602357165e-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,chi2,1.0,1.0,1.0,1.0,1.0,1.0
equivalence,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72718024643736e-08
