,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,fisher,0.00378550918329484,0.0014858445429116868,fisher,fisher,fisher,0.01136642664046365,fisher,fisher,0.7872717376114664,fisher,fisher,0.0003607177894840516,fisher,fisher,fisher,fisher
asynchronous,,0.0,1.072924757067527e-17,fisher,fisher,fisher,4.666902848732876e-08,7.136613742276109e-05,0.002711815297179137,1.0227217456115125e-14,fisher,2.1294798078266443e-09,3.356915015440329e-42,fisher,fisher,fisher,fisher
cause,,,0.0,fisher,fisher,fisher,3.884159877182464e-30,2.0821920199548085e-14,1.4224554032267505e-10,4.0651270697802205e-106,fisher,2.3993883786751456e-22,5.505841587272568e-45,fisher,fisher,fisher,0.5252760279899426
condition,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
negative-condition,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
purpose,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
concession,,,,,,,0.0,1.1533165861948431e-05,0.012713919362106358,4.771613559293517e-26,fisher,3.6354728922214403e-08,4.85587998665944e-23,fisher,fisher,fisher,fisher
contrast,,,,,,,,fisher,fisher,2.2719665031025316e-09,fisher,0.0018727901900332594,2.6453781071010825e-09,fisher,fisher,fisher,fisher
similarity,,,,,,,,,fisher,1.0275717886955587e-13,fisher,fisher,1.3334259521083419e-05,fisher,fisher,fisher,fisher
conjunction,,,,,,,,,,0.0,fisher,5.6710429384185725e-18,4.240671796201494e-25,fisher,fisher,fisher,fisher
disjunction,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher
instantiation,,,,,,,,,,,,0.0,7.813297477586131e-05,fisher,fisher,fisher,fisher
level-of-detail,,,,,,,,,,,,,0.0,fisher,fisher,fisher,fisher
equivalence,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
manner,,,,,,,,,,,,,,,fisher,fisher,fisher
exception,,,,,,,,,,,,,,,,fisher,fisher
substitution,,,,,,,,,,,,,,,,,fisher
