,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,8.419405828161572,1.3605121391080037,NA,NA,NA,NA,NA,NA,NA,-0.4994574091130224,NA,NA,NA,NA,NA
precedence,,4.023477151830433,NA,-2.9652075349417326,-1.3193383095307527,NA,-2.5463784565005145,NA,NA,-1.5261522757784423,NA,NA,NA,NA,NA
succession,,,11.667333341605158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reason,,,,4.678648654832992,-3.5121637130831442,NA,-2.891206953497956,NA,NA,-3.240214582441603,NA,-0.8132044414966827,NA,-1.0008314446724542,NA
result,,,,,2.154592878801659,-2.3999959728759777,-3.093334634641926,-3.3372602175280153,-2.4303696219194966,-1.9569154364153312,NA,-3.6591883124153775,1.1545928788016593,-3.2769597072602012,-0.6527620432559444
arg1-as-denier,,,,,,7.11274448992752,-0.4571111184034273,0.620891393597846,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,5.09747773327421,0.19058713766569121,NA,-2.8213855040003843,NA,NA,NA,-4.582002366231237,NA
contrast,,,,,,,,6.175480245275483,NA,-2.3283454927202674,NA,NA,NA,NA,NA
similarity,,,,,,,,,8.082370840884002,1.278984821029343,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,2.163507603609407,NA,-3.065311086886474,NA,-1.3460474944537266,NA
disjunction,,,,,,,,,,,12.667333341605158,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,4.85355215038812,NA,-0.7384651078669862,NA
arg1-as-detail,,,,,,,,,,,,,8.207901722967861,-1.4715783765375856,NA
arg2-as-detail,,,,,,,,,,,,,,2.9878532420997117,0.18049832004210783
arg2-as-subst,,,,,,,,,,,,,,,9.859978419547554
