,synchronous,precedence,succession,reason,result,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
precedence,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,7.855580011066321e-05,fisher,fisher,fisher,fisher,0.0032158897958530215,fisher
succession,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
reason,,,,,0.0003351309444388353,fisher,fisher,fisher,fisher,fisher,1.0417748182912729e-06,fisher,fisher,fisher,fisher,0.0004584064594015763,fisher
result,,,,,,fisher,fisher,fisher,fisher,fisher,1.4245839460317793e-09,fisher,fisher,fisher,fisher,3.1696200002121032e-06,fisher
arg2-as-goal,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-denier,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-denier,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
contrast,,,,,,,,,,fisher,0.011326137999628505,fisher,fisher,fisher,fisher,fisher,fisher
similarity,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher
conjunction,,,,,,,,,,,,fisher,fisher,0.05087829879725589,fisher,0.3559301698525511,fisher
disjunction,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher
arg1-as-instance,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
arg2-as-instance,,,,,,,,,,,,,,,fisher,fisher,fisher
arg1-as-detail,,,,,,,,,,,,,,,,fisher,fisher
arg2-as-detail,,,,,,,,,,,,,,,,,fisher
arg2-as-manner,,,,,,,,,,,,,,,,,
